,num_of_buzzwords,price_difference,condition_val,detailsYN,num_images
259,1.0,-4.0,3.0,1.0,1.0
260,1.0,-2.5599999999999987,4.0,1.0,2.0
261,1.0,1.3100000000000023,3.0,1.0,2.0
262,1.0,-3.0100000000000016,3.0,1.0,1.0
263,0.0,34.3,4.0,1.0,3.0
264,0.0,6.649999999999999,3.0,1.0,1.0
265,1.0,-2.5599999999999987,4.0,1.0,2.0
266,0.0,20.439999999999998,4.0,1.0,4.0
267,0.0,8.990000000000002,5.0,1.0,2.0
268,1.0,12.46,2.0,1.0,4.0
269,4.0,27.439999999999998,5.0,1.0,4.0
270,4.0,94.94,6.0,1.0,6.0
271,0.0,9.45,1.0,1.0,4.0
272,3.0,24.939999999999998,2.0,1.0,2.0
273,0.0,50.95,4.0,1.0,1.0
274,0.0,79.95,5.0,1.0,4.0
275,0.0,33.49,2.0,1.0,1.0
276,2.0,124.9,6.0,1.0,6.0
277,1.0,79.9,3.0,1.0,9.0
278,2.0,81.76,6.0,1.0,4.0
279,2.0,45.95,5.0,1.0,1.0
280,1.0,42.94,3.0,1.0,3.0
281,0.0,50.77,4.0,1.0,2.0
282,1.0,84.94,4.0,1.0,4.0
283,0.0,54.94,3.0,1.0,2.0
284,3.0,64.94,3.0,1.0,2.0
285,2.0,74.95,4.0,1.0,3.0
286,0.0,54.95,5.0,1.0,1.0
287,1.0,51.92,5.0,1.0,1.0
288,2.0,65.94,3.0,1.0,4.0
289,3.0,17.960000000000008,4.0,1.0,2.0
290,0.0,7.960000000000008,3.0,1.0,1.0
291,0.0,2.960000000000008,2.0,1.0,2.0
292,0.0,18.510000000000005,5.0,1.0,1.0
293,0.0,-5.489999999999995,3.0,1.0,1.0
294,0.0,-1.039999999999992,3.0,1.0,1.0
295,1.0,8.960000000000008,2.0,1.0,2.0
296,1.0,17.510000000000005,4.0,1.0,3.0
297,0.0,-23.049999999999997,3.0,1.0,1.0
298,2.0,41.91000000000001,4.0,1.0,3.0
299,4.0,15.460000000000008,5.0,1.0,2.0
300,3.0,17.960000000000008,4.0,1.0,2.0
301,2.0,31.5,4.0,1.0,3.0
302,2.0,35.5,4.0,1.0,3.0
303,2.0,35.5,4.0,1.0,3.0
304,0.0,34.010000000000005,4.0,1.0,5.0
305,1.0,60.5,4.0,1.0,0.0
306,4.0,25.5,4.0,1.0,10.0
307,2.0,-27.029999999999994,2.0,1.0,2.0
308,1.0,16.960000000000008,3.0,1.0,3.0
309,0.0,-5.99,3.0,1.0,1.0
310,0.0,-5.99,3.0,1.0,1.0
311,1.0,16.94,4.0,1.0,3.0
312,2.0,13.95,4.0,1.0,4.0
313,0.0,9.95,3.0,1.0,2.0
314,2.0,13.489999999999998,3.0,1.0,2.0
315,0.0,0.9399999999999995,3.0,1.0,1.0
316,1.0,13.940000000000001,4.0,1.0,5.0
317,1.0,32.95,1.0,1.0,12.0
318,2.0,15.95,5.0,1.0,12.0
319,0.0,-1.0500000000000007,2.0,1.0,1.0
320,1.0,3.9399999999999995,4.0,1.0,3.0
321,2.0,15.940000000000001,4.0,1.0,7.0
322,0.0,48.15,4.0,1.0,3.0
323,1.0,14.940000000000001,4.0,1.0,8.0
324,2.0,8.940000000000001,3.0,1.0,1.0
325,1.0,5.449999999999999,4.0,1.0,3.0
326,0.0,12.95,4.0,1.0,3.0
327,2.0,10.5,5.0,1.0,4.0
328,1.0,1.4900000000000002,3.0,1.0,1.0
329,1.0,0.6999999999999993,5.0,1.0,1.0
330,2.0,18.49,3.0,1.0,2.0
331,2.0,7.489999999999998,4.0,1.0,3.0
